Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5
1,0.0809294550708752,,,,
2,0.137965116004538,0.0836841008744742,0.108460732464911,,
3,0.116862351812926,,,,
4,0.0679238107780936,,,,
5,0.126635249757255,0.153567535032868,0.170335410862222,0.190327827065738,
6,0.11654278518328,,,,
7,0.212401535093037,0.0732205264064321,0.216544506775337,0.0706431301193697,
9,0.13697761898885,0.134501257811293,0.11424879715835,,
10,0.219923883832433,0.135420698892533,0.148241342232995,0.126176361314527,0.117307252370274
11,0.1072282876091,0.0941155031347902,,,
12,0.250784537052196,0.3240285328048,,,
13,0.150788649243732,,,,
14,0.114345013668481,0.20884179571639,0.13006301966751,,
16,0.124644447111996,0.163237567193907,,,
17,0.137765056530004,0.129977799516735,,,
18,0.121680932219468,,,,
19,0.239957929276054,0.0861009873398814,,,
22,0.114552684514006,0.0783440175547783,0.1190957567352,,
23,0.125495550771987,,,,
24,0.215805728293335,,,,
25,0.213386133192901,,,,
26,0.0875307997838723,0.134648938312253,,,
27,0.185422432425925,0.0991030817821244,0.103719887076104,0.125729027025802,0.158940593929507
29,0.234191566957212,,,,
30,0.0758979577489126,,,,
31,0.286013058940489,,,,
32,0.205533255807166,,,,
33,0.235888786994675,,,,
34,0.286126494448048,0.243980632305869,,,
35,0.0736180131337601,0.274440677489975,0.252092368928187,0.0767041170741675,
36,0.241947133343437,,,,
37,0.304819385379887,,,,
38,0.342906273211372,,,,
39,0.34129375261181,0.322534794953185,,,
40,0.412039655874804,,,,
