Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9,Probability_10,Probability_11,Probability_12
1,0.546948555089456,0.576200324796839,0.180922159917645,0.307378678371662,0.448371151581134,0.376842672304685,0.345838845333603,0.552303139556373,,,,
2,0.446488047869627,0.24065307533359,0.443424528905602,0.62500579549437,0.8341188653848,0.515860600493764,0.555414914537656,0.29704975346058,0.308692330404181,0.467821202140644,0.881646901468745,0.396355495422596
3,0.374469952833772,,,,,,,,,,,
4,0.585267139808872,0.501972722832683,,,,,,,,,,
5,0.352684374945225,0.388562641210867,0.388825279430654,0.447392233987838,0.322139234406569,0.332219664865516,0.393753229852691,0.360230190805559,0.413884060339932,,,
6,0.820728708156726,0.318330057675046,0.766231725746364,,,,,,,,,
7,0.848865264873955,0.776428160772299,,,,,,,,,,
8,0.293135369268827,0.434496434184007,0.315868989009456,0.3492031759887,0.453358921256943,,,,,,,
9,0.249042585473433,,,,,,,,,,,
10,0.868224419079811,0.463858869889635,,,,,,,,,,
11,0.41035222202103,,,,,,,,,,,
13,0.36326112990415,0.34080824634166,0.876506670715573,,,,,,,,,
14,0.39552865050395,0.745095117859791,,,,,,,,,,
15,0.842592725954956,,,,,,,,,,,
16,0.510275018329907,0.424865351097548,,,,,,,,,,
17,0.572122944965644,0.72743059221546,,,,,,,,,,
18,0.745864690211648,,,,,,,,,,,
19,0.527256903716166,,,,,,,,,,,
20,0.862397136185029,,,,,,,,,,,
22,0.506087828551618,,,,,,,,,,,
23,0.636404936746859,,,,,,,,,,,
25,0.398875804997827,,,,,,,,,,,
26,0.530343231459182,,,,,,,,,,,
27,0.97462639442042,,,,,,,,,,,
28,0.83740164447484,,,,,,,,,,,
32,0.816789597838963,,,,,,,,,,,
33,0.683657733263217,,,,,,,,,,,
34,0.851658772873753,,,,,,,,,,,
