Topic,1, , 
0.55158,29,filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production,
0.50287,42,memento flori speculative design approaches to memorials of the future,
0.41862,8,Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media,
0.35905,13,World Yearbook of Education 2024 Digi... (Z-Library) (dragged),
0.35424,24,dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers,
0.34895,28,festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals,
0.33986,3,Artificial Intelligence and Creativity,
0.32159,63,unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies,
0.30469,21,deepfakes in india from words for the lies to the faces for the lies,
0.29697,11,Public Interest Technology Indian Megacities,
-,-,-,-
Topic,2, , 
0.51943,17,ai-generated dance and the subjectivity challenge,
0.47015,26,embodying an interactive ai for dance through movement ideation,
0.44085,66,what is human-centered about human-centered ai a map of the research landscape,
0.38121,12,The Future of HCI-Policy Collaboration,
0.36795,33,hidden layer interaction a co-creative design fiction for generative models,
0.34999,48,nine potential pitfalls when designing human-ai co-creative systems,
0.34296,56,responsible language technologies foreseeing and mitigating harms,
0.33702,45,metaverse perspectives from japan a participatory speculative design case study,
0.31168,63,unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies,
0.30356,62,the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years,
-,-,-,-
Topic,3, , 
0.5107,19,boosting children's creativity through creative interactions with social robots,
0.46416,57,sparking creativity with robots a design perspective,
0.39804,68,writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing,
0.39283,10,Predictive or Imaginative Futures,
0.27025,43,memory manipulations in extended reality,
0.26265,51,on the integration of machine agents into live coding,
0.22149,41,machines for living,
0.2069,37,intelligent music performance system towards a design framework,
0.19795,9,Lonely Road Maison 2021 preprint,
0.19436,2,Algorithmic Abduction Robots,
-,-,-,-
Topic,4, , 
0.51955,53,probing respiratory care with generative deep learning,
0.5131,54,prototyping relational things that talk a discursive design strategy for conversational ai systems,
0.33476,6,Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics,
0.33128,49,nishant shah,
0.32742,40,machine talking speculative conversations with ai through practice-oriented research,
0.29875,5,Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices,
0.28479,61,the entoptic field camera as metaphor-driven research-through-design with ai technologies,
0.27823,65,user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation,
0.2639,20,conversations with the news co-speculation into conversational interactions with news content,
0.25506,51,on the integration of machine agents into live coding,
-,-,-,-
Topic,5, , 
0.46845,27,experiential speculation in vision-based ai design education designing conventional and progressive ai futures,
0.46807,59,speculative mobility exploring sustainability-driven scenarios for future car owners,
0.41834,15,ahrc design fellows challenges of the future ai data,
0.40813,38,its like the value system in the loop domain experts values expectations for nlp automation,
0.38322,30,from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and,
0.36995,58,speculation forms and functions,
0.36921,22,design ideation with ai-sketching thinking and talking with generative machine learning models,
0.36857,39,lost in the logistical funhouse speculative design as synthetic media enterprise,
0.36686,55,rendering a better future (L Shape),
0.36153,46,miracle machine in the making soulful speculation with kabbalah,
-,-,-,-
