"Topic","1"," "," "
"0.31408","43","memory manipulations in extended reality",""
"0.23523","58","speculation forms and functions",""
"0.23319","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.2246","3","Artificial Intelligence and Creativity",""
"0.18302","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.16639","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.15909","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.15792","31","from critical technical practice to reflexive data science",""
"0.14297","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.1415","45","metaverse perspectives from japan a participatory speculative design case study",""
"-","-","-","-"
"Topic","2"," "," "
"0.37898","2","Algorithmic Abduction Robots",""
"0.20511","31","from critical technical practice to reflexive data science",""
"0.18575","55","rendering a better future (L Shape)",""
"0.18007","41","machines for living",""
"0.17496","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.17393","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.1716","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.16307","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.16208","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.16191","49","nishant shah",""
"-","-","-","-"
"Topic","3"," "," "
"0.41812","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.24546","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.22322","55","rendering a better future (L Shape)",""
"0.19754","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.19049","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.16516","15","ahrc design fellows challenges of the future ai data",""
"0.15872","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.15827","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.13715","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.1341","11","Public Interest Technology Indian Megacities",""
"-","-","-","-"
"Topic","4"," "," "
"0.42115","66","what is human-centered about human-centered ai a map of the research landscape",""
"0.27289","56","responsible language technologies foreseeing and mitigating harms",""
"0.24082","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.23281","7","Instituting socio-technical education futures encounters with through technical democracy, data justice, and imaginaries",""
"0.22808","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.2253","12","The Future of HCI-Policy Collaboration",""
"0.20465","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"0.19076","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.18368","48","nine potential pitfalls when designing human-ai co-creative systems",""
"0.18342","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"-","-","-","-"
"Topic","5"," "," "
"0.24725","61","the entoptic field camera as metaphor-driven research-through-design with ai technologies",""
"0.23011","45","metaverse perspectives from japan a participatory speculative design case study",""
"0.20726","27","experiential speculation in vision-based ai design education designing conventional and progressive ai futures",""
"0.17629","11","Public Interest Technology Indian Megacities",""
"0.1648","22","design ideation with ai-sketching thinking and talking with generative machine learning models",""
"0.16015","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.15753","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.14587","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.14568","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.13408","20","conversations with the news co-speculation into conversational interactions with news content",""
"-","-","-","-"
"Topic","6"," "," "
"0.33011","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.23303","39","lost in the logistical funhouse speculative design as synthetic media enterprise",""
"0.1989","44","message ritual a posthuman account of living with lamp",""
"0.13313","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.11811","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.11293","54","prototyping relational things that talk a discursive design strategy for conversational ai systems",""
"0.11248","38","its like the value system in the loop domain experts values expectations for nlp automation",""
"0.093394","56","responsible language technologies foreseeing and mitigating harms",""
"0.086797","49","nishant shah",""
"0.080555","55","rendering a better future (L Shape)",""
"-","-","-","-"
"Topic","7"," "," "
"0.54581","10","Predictive or Imaginative Futures",""
"0.21897","11","Public Interest Technology Indian Megacities",""
"0.21723","20","conversations with the news co-speculation into conversational interactions with news content",""
"0.21002","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.16698","46","miracle machine in the making soulful speculation with kabbalah",""
"0.16369","58","speculation forms and functions",""
"0.14084","25","drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering",""
"0.13804","4","Call for Speculative ICCC",""
"0.12143","62","the future of generative ai how genai would change human-computer co-creation in the next 10 to 15 years",""
"0.12062","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"-","-","-","-"
"Topic","8"," "," "
"0.3588","63","unpredictable memes speculative futures of meme creators ownership through the lens of disruptive technologies",""
"0.21881","12","The Future of HCI-Policy Collaboration",""
"0.11847","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.11186","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.11133","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.10811","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.1059","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.09999","17","ai-generated dance and the subjectivity challenge",""
"0.094981","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.094417","37","intelligent music performance system towards a design framework",""
"-","-","-","-"
"Topic","9"," "," "
"0.44042","29","filmmaking of the future a co-design-led investigation into the potential of immersive technologies to enhance the small and medium audiovisual production",""
"0.25106","8","Investigating Consumer Perception and Speculative AI Labels for Creative AI Usage In Media",""
"0.16456","23","designing with ai- a user study to explore the future role of ai as a collaborative tool in graphics design",""
"0.14796","52","participatory conceptual design of accessible digital musical instruments using generative ai",""
"0.13483","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.10906","59","speculative mobility exploring sustainability-driven scenarios for future car owners",""
"0.093543","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.093202","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.085599","57","sparking creativity with robots a design perspective",""
"0.079699","65","user perspectives of the ethical dilemmas of ownership accountability leadership in human-ai co-creation",""
"-","-","-","-"
"Topic","10"," "," "
"0.38259","54","prototyping relational things that talk a discursive design strategy for conversational ai systems",""
"0.15722","49","nishant shah",""
"0.14302","51","on the integration of machine agents into live coding",""
"0.12031","5","Exploration of the Future of Co-Creative Systems Through Collaborative Speculative Design Practices",""
"0.1014","6","Exploring the Human-AI Nexus- A Friendly Dispute Between Second-Order Cybernetical Ethical Thinking and Questions of AI Ethics",""
"0.091756","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.082253","37","intelligent music performance system towards a design framework",""
"0.081247","15","ahrc design fellows challenges of the future ai data",""
"0.07923","40","machine talking speculative conversations with ai through practice-oriented research",""
"0.07727","21","deepfakes in india from words for the lies to the faces for the lies",""
"-","-","-","-"
"Topic","11"," "," "
"0.42712","68","writers want ai collaborators to respect their personal values and writing strategies a human-centered perspective on ai co-writing",""
"0.32417","30","from ban it till we understand it to resistance is futile how university programming instructors plan to adapt as more students use ai code generation and",""
"0.11086","28","festforward participatory design futuring and world-building for equitable digital futures in performing arts festivals",""
"0.098911","25","drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering",""
"0.085535","21","deepfakes in india from words for the lies to the faces for the lies",""
"0.084849","64","unreliable narrator reparative approaches to harmful biases in ai storytelling for the he classroom and future creative industries",""
"0.074682","55","rendering a better future (L Shape)",""
"0.06776","35","humans will lose proper imagination unconsciously",""
"0.067297","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.066575","48","nine potential pitfalls when designing human-ai co-creative systems",""
"-","-","-","-"
"Topic","12"," "," "
"0.49882","53","probing respiratory care with generative deep learning",""
"0.13914","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.10662","50","objective portrait a practice-based inquiry to explore al as a reflective design partner",""
"0.079875","60","synthetic ethnography field devices for the qualitative study of generative models",""
"0.074922","14","_explorers of unknown planets practices and politics of artificial intelligence in visual arts",""
"0.065531","19","boosting children's creativity through creative interactions with social robots",""
"0.054983","25","drinking chai with your (ai) programming partner a design fiction about generative ai for software engineering",""
"0.052944","4","Call for Speculative ICCC",""
"0.047909","34","how to use generative ai as a design material for future human-computer (co-) creation",""
"0.047178","49","nishant shah",""
"-","-","-","-"
"Topic","13"," "," "
"0.40372","42","memento flori speculative design approaches to memorials of the future",""
"0.26433","41","machines for living",""
"0.15617","3","Artificial Intelligence and Creativity",""
"0.13573","16","ai in the public eye investigating public ai literacy through ai art",""
"0.12419","18","artistic fusion- exploring the potential of ai-generated artwork in enabling creative expression with people with intellectual disabilities",""
"0.12104","13","World Yearbook of Education 2024 Digi... (Z-Library) (dragged)",""
"0.098665","14","_explorers of unknown planets practices and politics of artificial intelligence in visual arts",""
"0.08617","24","dreams for digital spaces symposium paper what shapes the worlds of children educators and researchers",""
"0.085663","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.082387","32","generative ai futures a speculative design exploration",""
"-","-","-","-"
"Topic","14"," "," "
"0.46052","17","ai-generated dance and the subjectivity challenge",""
"0.41771","26","embodying an interactive ai for dance through movement ideation",""
"0.13985","33","hidden layer interaction a co-creative design fiction for generative models",""
"0.12622","37","intelligent music performance system towards a design framework",""
"0.11534","51","on the integration of machine agents into live coding",""
"0.11169","47","muGen — Generative AI as Machinic Exploration of Cultural Archives",""
"0.092415","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.09178","67","when happy accidents spark creativity bringing collaborative speculation to life with generative ai",""
"0.087673","35","humans will lose proper imagination unconsciously",""
"0.0874","60","synthetic ethnography field devices for the qualitative study of generative models",""
"-","-","-","-"
"Topic","15"," "," "
"0.44139","19","boosting children's creativity through creative interactions with social robots",""
"0.40874","57","sparking creativity with robots a design perspective",""
"0.08745","51","on the integration of machine agents into live coding",""
"0.073235","9","Lonely Road Maison 2021 preprint",""
"0.071498","1","A Speculative Exploration of the Role of Dialogue in Human-Computer Co-creation",""
"0.059117","3","Artificial Intelligence and Creativity",""
"0.05415","37","intelligent music performance system towards a design framework",""
"0.048014","35","humans will lose proper imagination unconsciously",""
"0.046374","36","imagining the future of creative ai tools a cospeculative workshop",""
"0.041688","48","nine potential pitfalls when designing human-ai co-creative systems",""
"-","-","-","-"
