Topic,Probability_1,Probability_2,Probability_3,Probability_4,Probability_5,Probability_6,Probability_7,Probability_8,Probability_9
1,0.119075540658186,0.126047342079558,0.272974892832568,,,,,,
2,0.179291044542203,,,,,,,,
3,0.167771970698616,0.159549817477419,0.1422041317092,,,,,,
4,0.146830326411454,0.152152194861042,0.289723652957443,0.148694194161328,0.32522444935211,0.13520880964527,0.205799828632142,0.196380629549872,0.316578955114048
5,0.183372304098411,0.14989405079165,0.185034173783311,0.148632680251153,,,,,
6,0.282649796836278,,,,,,,,
7,0.209991146740742,0.0790304797913328,0.193604459254854,0.156762014901523,0.173909154698821,0.134686570691484,0.221014272915228,0.138153537273692,
8,0.134425388750404,0.095666657532205,0.196527839395099,,,,,,
9,0.229916344866279,0.312406140770975,0.154688099775647,0.151206674191591,,,,,
10,0.170637115110137,,,,,,,,
11,0.113778689254039,0.213992559970254,0.12057369828963,0.118532803046407,,,,,
12,0.260714369977554,0.155557705557513,,,,,,,
14,0.116466479521886,0.150031550560358,0.149959077607095,0.248851373021796,,,,,
15,0.246238474131271,0.172323032697148,,,,,,,
16,0.301752168683919,,,,,,,,
17,0.237395188834242,0.215831677755583,,,,,,,
18,0.0876741278676746,0.267315386346768,,,,,,,
19,0.313404929232281,,,,,,,,
20,0.187844058386344,0.264099058517371,,,,,,,
21,0.409000845019224,0.161473306011962,0.132148996909091,0.182890238740469,,,,,
22,0.331490232993986,0.284933971509128,0.267429723486303,,,,,,
23,0.380895646350227,0.303727734250201,,,,,,,
24,0.307549141953147,,,,,,,,
25,0.431148663371885,,,,,,,,
